SurgeryType,Vocabulary,Code
laminectomy,CPT,62444
laminectomy,CPT,22856
laminectomy,CPT,62924
laminectomy,CPT,63036
laminectomy,CPT,63052
laminectomy,CPT,63203
laminectomy,CPT,63200
laminectomy,CPT,62986
laminectomy,CPT,62397
laminectomy,CPT,63029
laminectomy,CPT,62502
laminectomy,CPT,62410
laminectomy,CPT,62389
laminectomy,CPT,62756
laminectomy,CPT,62504
laminectomy,CPT,62728
laminectomy,CPT,62892
laminectomy,CPT,62842
laminectomy,CPT,63042
laminectomy,CPT,62387
laminectomy,CPT,62614
laminectomy,CPT,62930
laminectomy,CPT,63100
laminectomy,CPT,S2350
laminectomy,CPT,62490
laminectomy,CPT,62450
laminectomy,CPT,62659
laminectomy,CPT,62841
laminectomy,CPT,62881
laminectomy,CPT,62913
laminectomy,CPT,62897
laminectomy,CPT,63092
laminectomy,CPT,62452
laminectomy,CPT,62840
laminectomy,CPT,63044
laminectomy,CPT,62679
laminectomy,CPT,63214
laminectomy,CPT,63007
laminectomy,CPT,62524
laminectomy,CPT,63043
laminectomy,CPT,62843
laminectomy,CPT,62642
laminectomy,CPT,62906
laminectomy,CPT,62651
laminectomy,CPT,63017
laminectomy,CPT,62474
laminectomy,CPT,63064
laminectomy,CPT,62497
laminectomy,CPT,62826
laminectomy,CPT,62912
laminectomy,CPT,62669
laminectomy,CPT,62938
laminectomy,CPT,62673
laminectomy,CPT,62638
laminectomy,CPT,62535
laminectomy,CPT,62455
laminectomy,CPT,62472
laminectomy,CPT,63160
laminectomy,CPT,62780
laminectomy,CPT,62411
laminectomy,CPT,62754
laminectomy,CPT,63114
laminectomy,CPT,63215
laminectomy,CPT,63209
laminectomy,CPT,62471
laminectomy,CPT,62607
laminectomy,CPT,62619
laminectomy,CPT,62857
laminectomy,CPT,62605
laminectomy,CPT,62804
laminectomy,CPT,62720
laminectomy,CPT,62932
laminectomy,CPT,62861
laminectomy,CPT,62643
laminectomy,CPT,62707
laminectomy,CPT,62832
laminectomy,CPT,62811
laminectomy,CPT,63228
laminectomy,CPT,62990
laminectomy,CPT,62888
laminectomy,CPT,62800
laminectomy,CPT,63188
laminectomy,CPT,63157
laminectomy,CPT,62436
laminectomy,CPT,62987
laminectomy,CPT,62957
laminectomy,CPT,62401
laminectomy,CPT,62484
laminectomy,CPT,63015
laminectomy,CPT,62386
laminectomy,CPT,62718
laminectomy,CPT,62487
laminectomy,CPT,62937
laminectomy,CPT,63014
laminectomy,CPT,62984
laminectomy,CPT,62463
laminectomy,CPT,62608
laminectomy,CPT,62838
laminectomy,CPT,62865
laminectomy,CPT,62403
laminectomy,CPT,62602
laminectomy,CPT,62871
laminectomy,CPT,63198
laminectomy,CPT,63655
laminectomy,CPT,62449
laminectomy,CPT,63167
laminectomy,CPT,62440
laminectomy,CPT,22858
laminectomy,CPT,63124
laminectomy,CPT,62666
laminectomy,CPT,62610
laminectomy,CPT,62837
laminectomy,CPT,62700
laminectomy,CPT,62773
laminectomy,CPT,62709
laminectomy,CPT,62536
laminectomy,CPT,62384
laminectomy,CPT,62909
laminectomy,CPT,62793
laminectomy,CPT,62606
laminectomy,CPT,63040
laminectomy,CPT,63191
laminectomy,CPT,62556
laminectomy,CPT,62492
laminectomy,CPT,62572
laminectomy,CPT,63186
laminectomy,CPT,62762
laminectomy,CPT,62991
laminectomy,CPT,62540
laminectomy,CPT,62470
laminectomy,CPT,62789
laminectomy,CPT,0202T
laminectomy,CPT,63210
laminectomy,CPT,62993
laminectomy,CPT,62432
laminectomy,CPT,62904
laminectomy,CPT,62684
laminectomy,CPT,62541
laminectomy,CPT,62710
laminectomy,CPT,62858
laminectomy,CPT,62798
laminectomy,CPT,63196
laminectomy,CPT,62636
laminectomy,CPT,62402
laminectomy,CPT,62559
laminectomy,CPT,63048
laminectomy,CPT,62454
laminectomy,CPT,62482
laminectomy,CPT,62516
laminectomy,CPT,62795
laminectomy,CPT,62615
laminectomy,CPT,62629
laminectomy,CPT,62712
laminectomy,CPT,62468
laminectomy,CPT,62853
laminectomy,CPT,62902
laminectomy,CPT,63136
laminectomy,CPT,62599
laminectomy,CPT,62644
laminectomy,CPT,63089
laminectomy,CPT,62507
laminectomy,CPT,62847
laminectomy,CPT,62385
laminectomy,CPT,63104
laminectomy,CPT,62926
laminectomy,CPT,62532
laminectomy,CPT,62453
laminectomy,CPT,63168
laminectomy,CPT,62825
laminectomy,CPT,62439
laminectomy,CPT,62879
laminectomy,CPT,62647
laminectomy,CPT,63098
laminectomy,CPT,62570
laminectomy,CPT,63240
laminectomy,CPT,62623
laminectomy,CPT,62652
laminectomy,CPT,63119
laminectomy,CPT,63169
laminectomy,CPT,63137
laminectomy,CPT,62765
laminectomy,CPT,S2348
laminectomy,CPT,62501
laminectomy,CPT,62927
laminectomy,CPT,62954
laminectomy,CPT,62395
laminectomy,CPT,62864
laminectomy,CPT,63091
laminectomy,CPT,22864
laminectomy,CPT,63000
laminectomy,CPT,63234
laminectomy,CPT,62784
laminectomy,CPT,62814
laminectomy,CPT,63075
laminectomy,CPT,62601
laminectomy,CPT,62723
laminectomy,CPT,62393
laminectomy,CPT,63193
laminectomy,CPT,63088
laminectomy,CPT,62634
laminectomy,CPT,62876
laminectomy,CPT,62975
laminectomy,CPT,62486
laminectomy,CPT,62721
laminectomy,CPT,62396
laminectomy,CPT,62893
laminectomy,CPT,63140
laminectomy,CPT,62399
laminectomy,CPT,62456
laminectomy,CPT,62997
laminectomy,CPT,62934
laminectomy,CPT,62681
laminectomy,CPT,62514
laminectomy,CPT,62742
laminectomy,CPT,62869
laminectomy,CPT,62495
laminectomy,CPT,62457
laminectomy,CPT,62640
laminectomy,CPT,62412
laminectomy,CPT,62550
laminectomy,CPT,62702
laminectomy,CPT,62738
laminectomy,CPT,63107
laminectomy,CPT,62526
laminectomy,CPT,62409
laminectomy,CPT,62916
laminectomy,CPT,63067
laminectomy,CPT,62584
laminectomy,CPT,62959
laminectomy,CPT,62683
laminectomy,CPT,62870
laminectomy,CPT,63161
laminectomy,CPT,62776
laminectomy,CPT,62627
laminectomy,CPT,63054
laminectomy,CPT,62907
laminectomy,CPT,62544
laminectomy,CPT,62407
laminectomy,CPT,62908
laminectomy,CPT,62953
laminectomy,CPT,62404
laminectomy,CPT,62594
laminectomy,CPT,62613
laminectomy,CPT,62750
laminectomy,CPT,63034
laminectomy,CPT,62510
laminectomy,CPT,62872
laminectomy,CPT,62933
laminectomy,CPT,62696
laminectomy,CPT,62582
laminectomy,CPT,63224
laminectomy,CPT,62746
laminectomy,CPT,63009
laminectomy,CPT,62739
laminectomy,CPT,62464
laminectomy,CPT,62960
laminectomy,CPT,63084
laminectomy,CPT,62849
laminectomy,CPT,63216
laminectomy,CPT,63207
laminectomy,CPT,62829
laminectomy,CPT,63201
laminectomy,CPT,62448
laminectomy,CPT,62382
laminectomy,CPT,62956
laminectomy,CPT,62790
laminectomy,CPT,62591
laminectomy,CPT,62772
laminectomy,CPT,62577
laminectomy,CPT,63208
laminectomy,CPT,62896
laminectomy,CPT,62983
laminectomy,CPT,62740
laminectomy,CPT,62392
laminectomy,CPT,63001
laminectomy,CPT,62548
laminectomy,CPT,62863
laminectomy,CPT,62479
laminectomy,CPT,63162
laminectomy,CPT,63220
laminectomy,CPT,62713
laminectomy,CPT,63148
laminectomy,CPT,63227
laminectomy,CPT,63024
laminectomy,CPT,62576
laminectomy,CPT,63173
laminectomy,CPT,62737
laminectomy,CPT,62711
laminectomy,CPT,63132
laminectomy,CPT,62429
laminectomy,CPT,63046
laminectomy,CPT,62522
laminectomy,CPT,62877
laminectomy,CPT,63212
laminectomy,CPT,62523
laminectomy,CPT,62437
laminectomy,CPT,62844
laminectomy,CPT,62900
laminectomy,CPT,63081
laminectomy,CPT,63019
laminectomy,CPT,62697
laminectomy,CPT,63244
laminectomy,CPT,62949
laminectomy,CPT,62558
laminectomy,CPT,63166
laminectomy,CPT,63174
laminectomy,CPT,62625
laminectomy,CPT,62703
laminectomy,CPT,62586
laminectomy,CPT,63141
laminectomy,CPT,62979
laminectomy,CPT,62966
laminectomy,CPT,62620
laminectomy,CPT,62732
laminectomy,CPT,63120
laminectomy,CPT,62351
laminectomy,CPT,62612
laminectomy,CPT,63013
laminectomy,CPT,62635
laminectomy,CPT,62922
laminectomy,CPT,62571
laminectomy,CPT,62639
laminectomy,CPT,62649
laminectomy,CPT,62948
laminectomy,CPT,62417
laminectomy,CPT,62763
laminectomy,CPT,63106
laminectomy,CPT,62446
laminectomy,CPT,62469
laminectomy,CPT,62460
laminectomy,CPT,62656
laminectomy,CPT,62581
laminectomy,CPT,63252
laminectomy,CPT,62569
laminectomy,CPT,63037
laminectomy,CPT,62658
laminectomy,CPT,62919
laminectomy,CPT,62458
laminectomy,CPT,62733
laminectomy,CPT,63235
laminectomy,CPT,62481
laminectomy,CPT,62447
laminectomy,CPT,62593
